dataset,objective,n,p,fold,n_trees,d,rf_train_acc,rf_test_acc,ba,ba_train_acc,ba_test_acc,ba_depth,ba_#_leaves,ba_#_nodes,ba_prune,train_acc,test_acc,ba_pruned_depth,leaves,ba_pruned_#_nodes,training_time 
compas,4,5525,8,0,10,3,0.664434389,0.668596237,born-agin,0.664434389,0.668596237,12,62,123,born-agin-prune,0.664434389,0.668596237,8,12,23,0.040612
compas,4,5525,8,1,10,3,0.676199095,0.650506512,born-agin,0.676199095,0.650506512,10,37,73,born-agin-prune,0.676199095,0.651230101,9,17,33,0.022346
compas,4,5526,8,2,10,3,0.665399928,0.671976828,born-agin,0.665399928,0.671976828,12,115,229,born-agin-prune,0.665399928,0.671976828,11,36,71,0.050058
compas,4,5526,8,3,10,3,0.663952226,0.648081101,born-agin,0.663952226,0.648081101,10,72,143,born-agin-prune,0.663952226,0.648081101,8,25,49,0.032318
compas,4,5526,8,4,10,3,0.664857039,0.685734975,born-agin,0.664857039,0.685734975,11,45,89,born-agin-prune,0.664857039,0.686459088,9,21,41,0.020924
broward_general_2y,4,1563,39,0,10,3,0.641074856,0.603580563,born-agin,0.641074856,0.603580563,30,245895,491789,born-agin-prune,0.641074856,0.603580563,18,170,339,242.165
broward_general_2y,4,1563,39,1,10,3,0.624440179,0.603580563,born-agin,0.624440179,0.603580563,32,468643,937285,born-agin-prune,0.624440179,0.603580563,18,199,397,350.85
broward_general_2y,4,1563,39,2,10,3,0.642354447,0.624040921,born-agin,0.642354447,0.624040921,35,1038514,2077027,born-agin-prune,0.642354447,0.618925831,19,241,481,914.849
broward_general_2y,4,1563,39,3,10,3,0.618042226,0.547314578,born-agin,0.618042226,0.547314578,29,82016,164031,born-agin-prune,0.618042226,0.554987212,14,123,245,95.3315
broward_general_2y,4,1564,39,4,10,3,0.631074169,0.612820513,born-agin,0.630434783,0.612820513,35,729736,1459471,born-agin-prune,0.630434783,0.612820513,19,146,291,581.51
fico,4,8367,24,0,10,3,0.708736704,0.717017208,born-agin,0.708617187,0.717017208,22,5280,10559,born-agin-prune,0.708617187,0.714627151,14,221,441,4.72598
fico,4,8367,24,1,10,3,0.716146767,0.67543021,born-agin,0.716385801,0.67543021,22,5703,11405,born-agin-prune,0.716385801,0.674952199,13,174,347,5.26754
fico,4,8367,24,2,10,3,0.709453807,0.709847036,born-agin,0.709453807,0.709847036,23,6309,12617,born-agin-prune,0.709453807,0.711281071,16,256,511,6.08647
fico,4,8367,24,3,10,3,0.711485598,0.721319312,born-agin,0.711485598,0.721319312,24,10123,20245,born-agin-prune,0.711485598,0.721797323,16,297,593,10.7016
fico,4,8368,24,4,10,3,0.713551625,0.712099474,born-agin,0.713551625,0.712577714,24,13582,27163,born-agin-prune,0.713551625,0.708273553,16,316,631,12.4864
netherlands,4,16000,10,0,10,3,0.6856875,0.66675,born-agin,0.6856875,0.66675,15,350,699,born-agin-prune,0.6856875,0.66675,11,60,119,0.178096
netherlands,4,16000,10,1,10,3,0.6905,0.6905,born-agin,0.6905,0.6905,18,646,1291,born-agin-prune,0.6905,0.691,12,48,95,0.284157
netherlands,4,16000,10,2,10,3,0.684375,0.6835,born-agin,0.684375,0.6835,15,248,495,born-agin-prune,0.684375,0.68275,10,47,93,0.125234
netherlands,4,16000,10,3,10,3,0.6858125,0.6855,born-agin,0.6858125,0.6855,20,1017,2033,born-agin-prune,0.6858125,0.68625,10,67,133,0.438351
netherlands,4,16000,10,4,10,3,0.6850625,0.68175,born-agin,0.6850625,0.68175,16,533,1065,born-agin-prune,0.6850625,0.681,15,76,151,0.241084
coupon_carryout,4,1824,88,0,10,3,0.735197368,0.747807018,born-agin,0.735197368,0.747807018,42,313757,627513,born-agin-prune,0.735197368,0.747807018,0,1,1,175.382
coupon_carryout,4,1824,88,1,10,3,0.733552632,0.756578947,born-agin,0.733552632,0.756578947,17,308,615,born-agin-prune,0.733552632,0.75877193,6,7,13,0.665567
coupon_carryout,4,1824,88,2,10,3,0.740679825,0.725877193,born-agin,0.740679825,0.725877193,22,4329,8657,born-agin-prune,0.740679825,0.725877193,0,1,1,8.75652
coupon_carryout,4,1824,88,3,10,3,0.742872807,0.721491228,born-agin,0.742872807,0.721491228,32,51390,102779,born-agin-prune,0.742872807,0.721491228,9,13,25,79.7341
coupon_carryout,4,1824,88,4,10,3,0.737938596,0.736842105,born-agin,0.737938596,0.736842105,30,2954,5907,born-agin-prune,0.737938596,0.736842105,0,1,1,5.12056
coupon_rest20,4,2122,88,0,10,3,0.748350613,0.745762712,born-agin,0.748350613,0.745762712,34,30615,61229,born-agin-prune,0.748350613,0.747645951,7,14,27,51.0131
coupon_rest20,4,2122,88,1,10,3,0.753534402,0.743879473,born-agin,0.753534402,0.743879473,28,8189,16377,born-agin-prune,0.753534402,0.743879473,7,8,15,12.6425
coupon_rest20,4,2122,88,2,10,3,0.752120641,0.755178908,born-agin,0.752120641,0.755178908,30,194338,388675,born-agin-prune,0.752120641,0.758945386,12,19,37,264.521
coupon_rest20,4,2123,88,3,10,3,0.747527084,0.786792453,born-agin,0.747527084,0.786792453,35,163440,326879,born-agin-prune,0.747527084,0.786792453,13,35,69,245.819
coupon_rest20,4,2123,88,4,10,3,0.756005652,0.724528302,born-agin,0.756005652,0.724528302,35,49464,98927,born-agin-prune,0.756005652,0.724528302,10,20,39,70.0846
spiral,4,100,3,None,10,3,0.81,0.81,born-agin,0.81,0.81,13,40,79,born-agin-prune,0.81,0.81,10,11,21,0.009821
